image_a,image_b,label,identity_a,identity_b,pair_type,cosine_similarity
D:\biztech\preprocessed_images\person_028\img_09.jpg,D:\biztech\preprocessed_images\person_147\img_06.jpg,0,person_028,person_147,negative,-0.034333
D:\biztech\preprocessed_images\person_058\img_02.jpg,D:\biztech\preprocessed_images\person_058\img_07.jpg,1,person_058,person_058,positive,0.754613
D:\biztech\preprocessed_images\person_007\img_29.jpg,D:\biztech\preprocessed_images\person_007\img_51.jpg,1,person_007,person_007,positive,0.641494
D:\biztech\preprocessed_images\person_105\img_02.jpg,D:\biztech\preprocessed_images\person_105\img_08.jpg,1,person_105,person_105,positive,0.670372
D:\biztech\preprocessed_images\person_007\img_48.jpg,D:\biztech\preprocessed_images\person_007\img_59.jpg,1,person_007,person_007,positive,0.814412
D:\biztech\preprocessed_images\person_081\img_06.jpg,D:\biztech\preprocessed_images\person_081\img_17.jpg,1,person_081,person_081,positive,0.535759
D:\biztech\preprocessed_images\person_239\img_03.jpg,D:\biztech\preprocessed_images\person_239\img_05.jpg,1,person_239,person_239,positive,0.505209
D:\biztech\preprocessed_images\person_253\img_05.jpg,D:\biztech\preprocessed_images\person_253\img_07.jpg,1,person_253,person_253,positive,0.703501
D:\biztech\preprocessed_images\person_229\img_06.jpg,D:\biztech\preprocessed_images\person_601\img_02.jpg,0,person_229,person_601,negative,-0.056253
D:\biztech\preprocessed_images\person_411\img_02.jpg,D:\biztech\preprocessed_images\person_164\img_08.jpg,0,person_411,person_164,negative,0.094584
D:\biztech\preprocessed_images\person_596\img_03.jpg,D:\biztech\preprocessed_images\person_104\img_08.jpg,0,person_596,person_104,negative,0.214269
D:\biztech\preprocessed_images\person_147\img_01.jpg,D:\biztech\preprocessed_images\person_147\img_07.jpg,1,person_147,person_147,positive,0.612659
D:\biztech\preprocessed_images\person_045\img_19.jpg,D:\biztech\preprocessed_images\person_045\img_24.jpg,1,person_045,person_045,positive,0.748058
D:\biztech\preprocessed_images\person_026\img_12.jpg,D:\biztech\preprocessed_images\person_026\img_28.jpg,1,person_026,person_026,positive,0.679832
D:\biztech\preprocessed_images\person_518\img_04.jpg,D:\biztech\preprocessed_images\person_371\img_02.jpg,0,person_518,person_371,negative,-0.403731
D:\biztech\preprocessed_images\person_007\img_13.jpg,D:\biztech\preprocessed_images\person_007\img_37.jpg,1,person_007,person_007,positive,0.731299
D:\biztech\preprocessed_images\person_460\img_01.jpg,D:\biztech\preprocessed_images\person_460\img_03.jpg,1,person_460,person_460,positive,0.921949
D:\biztech\preprocessed_images\person_229\img_07.jpg,D:\biztech\preprocessed_images\person_115\img_02.jpg,0,person_229,person_115,negative,0.010743
D:\biztech\preprocessed_images\person_104\img_03.jpg,D:\biztech\preprocessed_images\person_104\img_10.jpg,1,person_104,person_104,positive,0.251331
D:\biztech\preprocessed_images\person_074\img_08.jpg,D:\biztech\preprocessed_images\person_576\img_04.jpg,0,person_074,person_576,negative,0.312193
D:\biztech\preprocessed_images\person_323\img_04.jpg,D:\biztech\preprocessed_images\person_234\img_01.jpg,0,person_323,person_234,negative,-0.338118
D:\biztech\preprocessed_images\person_074\img_07.jpg,D:\biztech\preprocessed_images\person_582\img_03.jpg,0,person_074,person_582,negative,0.124662
D:\biztech\preprocessed_images\person_115\img_04.jpg,D:\biztech\preprocessed_images\person_274\img_04.jpg,0,person_115,person_274,negative,-0.040948
D:\biztech\preprocessed_images\person_371\img_04.jpg,D:\biztech\preprocessed_images\person_235\img_06.jpg,0,person_371,person_235,negative,-0.179673
D:\biztech\preprocessed_images\person_028\img_30.jpg,D:\biztech\preprocessed_images\person_345\img_03.jpg,0,person_028,person_345,negative,-0.236680
D:\biztech\preprocessed_images\person_072\img_03.jpg,D:\biztech\preprocessed_images\person_072\img_13.jpg,1,person_072,person_072,positive,0.399781
D:\biztech\preprocessed_images\person_371\img_02.jpg,D:\biztech\preprocessed_images\person_371\img_03.jpg,1,person_371,person_371,positive,0.676859
D:\biztech\preprocessed_images\person_045\img_01.jpg,D:\biztech\preprocessed_images\person_045\img_17.jpg,1,person_045,person_045,positive,0.605101
D:\biztech\preprocessed_images\person_082\img_13.jpg,D:\biztech\preprocessed_images\person_082\img_16.jpg,1,person_082,person_082,positive,0.789213
D:\biztech\preprocessed_images\person_217\img_02.jpg,D:\biztech\preprocessed_images\person_474\img_02.jpg,0,person_217,person_474,negative,-0.287866
D:\biztech\preprocessed_images\person_164\img_01.jpg,D:\biztech\preprocessed_images\person_164\img_02.jpg,1,person_164,person_164,positive,0.497691
D:\biztech\preprocessed_images\person_100\img_09.jpg,D:\biztech\preprocessed_images\person_411\img_01.jpg,0,person_100,person_411,negative,-0.176429
D:\biztech\preprocessed_images\person_345\img_02.jpg,D:\biztech\preprocessed_images\person_430\img_01.jpg,0,person_345,person_430,negative,-0.117131
D:\biztech\preprocessed_images\person_324\img_03.jpg,D:\biztech\preprocessed_images\person_081\img_12.jpg,0,person_324,person_081,negative,0.363921
D:\biztech\preprocessed_images\person_582\img_02.jpg,D:\biztech\preprocessed_images\person_095\img_02.jpg,0,person_582,person_095,negative,-0.215777
D:\biztech\preprocessed_images\person_068\img_04.jpg,D:\biztech\preprocessed_images\person_068\img_17.jpg,1,person_068,person_068,positive,0.745478
D:\biztech\preprocessed_images\person_047\img_08.jpg,D:\biztech\preprocessed_images\person_047\img_13.jpg,1,person_047,person_047,positive,0.668083
D:\biztech\preprocessed_images\person_226\img_01.jpg,D:\biztech\preprocessed_images\person_226\img_03.jpg,1,person_226,person_226,positive,0.682854
D:\biztech\preprocessed_images\person_143\img_06.jpg,D:\biztech\preprocessed_images\person_143\img_08.jpg,1,person_143,person_143,positive,0.911318
D:\biztech\preprocessed_images\person_104\img_09.jpg,D:\biztech\preprocessed_images\person_104\img_10.jpg,1,person_104,person_104,positive,0.486851
D:\biztech\preprocessed_images\person_229\img_01.jpg,D:\biztech\preprocessed_images\person_229\img_03.jpg,1,person_229,person_229,positive,0.682317
D:\biztech\preprocessed_images\person_274\img_05.jpg,D:\biztech\preprocessed_images\person_204\img_02.jpg,0,person_274,person_204,negative,0.065947
D:\biztech\preprocessed_images\person_031\img_03.jpg,D:\biztech\preprocessed_images\person_031\img_11.jpg,1,person_031,person_031,positive,0.633374
D:\biztech\preprocessed_images\person_389\img_01.jpg,D:\biztech\preprocessed_images\person_389\img_03.jpg,1,person_389,person_389,positive,0.631557
D:\biztech\preprocessed_images\person_031\img_02.jpg,D:\biztech\preprocessed_images\person_031\img_31.jpg,1,person_031,person_031,positive,-0.117956
D:\biztech\preprocessed_images\person_095\img_03.jpg,D:\biztech\preprocessed_images\person_095\img_08.jpg,1,person_095,person_095,positive,0.882596
D:\biztech\preprocessed_images\person_095\img_08.jpg,D:\biztech\preprocessed_images\person_095\img_11.jpg,1,person_095,person_095,positive,0.683178
D:\biztech\preprocessed_images\person_160\img_01.jpg,D:\biztech\preprocessed_images\person_160\img_08.jpg,1,person_160,person_160,positive,0.554647
D:\biztech\preprocessed_images\person_072\img_07.jpg,D:\biztech\preprocessed_images\person_072\img_10.jpg,1,person_072,person_072,positive,0.689792
D:\biztech\preprocessed_images\person_104\img_08.jpg,D:\biztech\preprocessed_images\person_104\img_10.jpg,1,person_104,person_104,positive,0.633999
D:\biztech\preprocessed_images\person_204\img_01.jpg,D:\biztech\preprocessed_images\person_274\img_01.jpg,0,person_204,person_274,negative,0.542064
D:\biztech\preprocessed_images\person_168\img_03.jpg,D:\biztech\preprocessed_images\person_168\img_05.jpg,1,person_168,person_168,positive,0.288122
D:\biztech\preprocessed_images\person_575\img_04.jpg,D:\biztech\preprocessed_images\person_275\img_06.jpg,0,person_575,person_275,negative,0.200641
D:\biztech\preprocessed_images\person_045\img_19.jpg,D:\biztech\preprocessed_images\person_045\img_23.jpg,1,person_045,person_045,positive,0.414849
D:\biztech\preprocessed_images\person_270\img_01.jpg,D:\biztech\preprocessed_images\person_270\img_06.jpg,1,person_270,person_270,positive,0.413608
D:\biztech\preprocessed_images\person_217\img_04.jpg,D:\biztech\preprocessed_images\person_217\img_06.jpg,1,person_217,person_217,positive,0.790454
D:\biztech\preprocessed_images\person_380\img_05.jpg,D:\biztech\preprocessed_images\person_406\img_03.jpg,0,person_380,person_406,negative,-0.036087
D:\biztech\preprocessed_images\person_215\img_05.jpg,D:\biztech\preprocessed_images\person_274\img_01.jpg,0,person_215,person_274,negative,-0.285735
D:\biztech\preprocessed_images\person_596\img_01.jpg,D:\biztech\preprocessed_images\person_204\img_08.jpg,0,person_596,person_204,negative,-0.059388
D:\biztech\preprocessed_images\person_115\img_05.jpg,D:\biztech\preprocessed_images\person_215\img_03.jpg,0,person_115,person_215,negative,0.014333
D:\biztech\preprocessed_images\person_389\img_03.jpg,D:\biztech\preprocessed_images\person_471\img_02.jpg,0,person_389,person_471,negative,-0.155947
D:\biztech\preprocessed_images\person_105\img_01.jpg,D:\biztech\preprocessed_images\person_028\img_15.jpg,0,person_105,person_028,negative,-0.079266
D:\biztech\preprocessed_images\person_221\img_02.jpg,D:\biztech\preprocessed_images\person_596\img_02.jpg,0,person_221,person_596,negative,-0.087403
D:\biztech\preprocessed_images\person_229\img_03.jpg,D:\biztech\preprocessed_images\person_229\img_04.jpg,1,person_229,person_229,positive,0.889808
D:\biztech\preprocessed_images\person_371\img_01.jpg,D:\biztech\preprocessed_images\person_371\img_04.jpg,1,person_371,person_371,positive,0.577771
D:\biztech\preprocessed_images\person_168\img_02.jpg,D:\biztech\preprocessed_images\person_168\img_04.jpg,1,person_168,person_168,positive,0.794955
D:\biztech\preprocessed_images\person_031\img_07.jpg,D:\biztech\preprocessed_images\person_559\img_03.jpg,0,person_031,person_559,negative,-0.120538
D:\biztech\preprocessed_images\person_026\img_13.jpg,D:\biztech\preprocessed_images\person_026\img_24.jpg,1,person_026,person_026,positive,0.377268
D:\biztech\preprocessed_images\person_575\img_03.jpg,D:\biztech\preprocessed_images\person_368\img_03.jpg,0,person_575,person_368,negative,0.057860
D:\biztech\preprocessed_images\person_128\img_03.jpg,D:\biztech\preprocessed_images\person_128\img_10.jpg,1,person_128,person_128,positive,0.704012
D:\biztech\preprocessed_images\person_225\img_03.jpg,D:\biztech\preprocessed_images\person_225\img_06.jpg,1,person_225,person_225,positive,0.242508
D:\biztech\preprocessed_images\person_470\img_01.jpg,D:\biztech\preprocessed_images\person_226\img_01.jpg,0,person_470,person_226,negative,-0.160058
D:\biztech\preprocessed_images\person_095\img_04.jpg,D:\biztech\preprocessed_images\person_095\img_12.jpg,1,person_095,person_095,positive,0.382301
D:\biztech\preprocessed_images\person_028\img_05.jpg,D:\biztech\preprocessed_images\person_028\img_27.jpg,1,person_028,person_028,positive,0.836016
D:\biztech\preprocessed_images\person_274\img_03.jpg,D:\biztech\preprocessed_images\person_411\img_04.jpg,0,person_274,person_411,negative,-0.093393
D:\biztech\preprocessed_images\person_285\img_01.jpg,D:\biztech\preprocessed_images\person_007\img_44.jpg,0,person_285,person_007,negative,0.148332
D:\biztech\preprocessed_images\person_324\img_01.jpg,D:\biztech\preprocessed_images\person_167\img_02.jpg,0,person_324,person_167,negative,-0.357343
D:\biztech\preprocessed_images\person_168\img_04.jpg,D:\biztech\preprocessed_images\person_168\img_06.jpg,1,person_168,person_168,positive,0.850753
D:\biztech\preprocessed_images\person_007\img_59.jpg,D:\biztech\preprocessed_images\person_007\img_63.jpg,1,person_007,person_007,positive,0.606190
D:\biztech\preprocessed_images\person_324\img_01.jpg,D:\biztech\preprocessed_images\person_007\img_47.jpg,0,person_324,person_007,negative,-0.095537
D:\biztech\preprocessed_images\person_559\img_01.jpg,D:\biztech\preprocessed_images\person_559\img_02.jpg,1,person_559,person_559,positive,0.930803
D:\biztech\preprocessed_images\person_028\img_09.jpg,D:\biztech\preprocessed_images\person_028\img_29.jpg,1,person_028,person_028,positive,0.851139
D:\biztech\preprocessed_images\person_045\img_14.jpg,D:\biztech\preprocessed_images\person_045\img_21.jpg,1,person_045,person_045,positive,0.597398
D:\biztech\preprocessed_images\person_605\img_02.jpg,D:\biztech\preprocessed_images\person_411\img_03.jpg,0,person_605,person_411,negative,0.237127
D:\biztech\preprocessed_images\person_105\img_03.jpg,D:\biztech\preprocessed_images\person_105\img_06.jpg,1,person_105,person_105,positive,0.469719
D:\biztech\preprocessed_images\person_380\img_02.jpg,D:\biztech\preprocessed_images\person_380\img_05.jpg,1,person_380,person_380,positive,0.587332
D:\biztech\preprocessed_images\person_272\img_05.jpg,D:\biztech\preprocessed_images\person_251\img_01.jpg,0,person_272,person_251,negative,0.083981
D:\biztech\preprocessed_images\person_389\img_02.jpg,D:\biztech\preprocessed_images\person_389\img_05.jpg,1,person_389,person_389,positive,0.759043
D:\biztech\preprocessed_images\person_353\img_02.jpg,D:\biztech\preprocessed_images\person_353\img_03.jpg,1,person_353,person_353,positive,0.182119
D:\biztech\preprocessed_images\person_047\img_07.jpg,D:\biztech\preprocessed_images\person_047\img_20.jpg,1,person_047,person_047,positive,0.215999
D:\biztech\preprocessed_images\person_239\img_07.jpg,D:\biztech\preprocessed_images\person_204\img_07.jpg,0,person_239,person_204,negative,0.228591
D:\biztech\preprocessed_images\person_323\img_04.jpg,D:\biztech\preprocessed_images\person_596\img_04.jpg,0,person_323,person_596,negative,0.588973
D:\biztech\preprocessed_images\person_234\img_04.jpg,D:\biztech\preprocessed_images\person_234\img_06.jpg,1,person_234,person_234,positive,0.556953
D:\biztech\preprocessed_images\person_575\img_03.jpg,D:\biztech\preprocessed_images\person_603\img_03.jpg,0,person_575,person_603,negative,-0.126878
D:\biztech\preprocessed_images\person_128\img_01.jpg,D:\biztech\preprocessed_images\person_128\img_10.jpg,1,person_128,person_128,positive,0.787235
D:\biztech\preprocessed_images\person_229\img_04.jpg,D:\biztech\preprocessed_images\person_433\img_01.jpg,0,person_229,person_433,negative,0.030075
D:\biztech\preprocessed_images\person_058\img_07.jpg,D:\biztech\preprocessed_images\person_058\img_10.jpg,1,person_058,person_058,positive,0.546207
D:\biztech\preprocessed_images\person_128\img_01.jpg,D:\biztech\preprocessed_images\person_128\img_02.jpg,1,person_128,person_128,positive,0.529107
D:\biztech\preprocessed_images\person_575\img_02.jpg,D:\biztech\preprocessed_images\person_575\img_04.jpg,1,person_575,person_575,positive,0.496989
D:\biztech\preprocessed_images\person_465\img_03.jpg,D:\biztech\preprocessed_images\person_465\img_04.jpg,1,person_465,person_465,positive,0.708622
D:\biztech\preprocessed_images\person_224\img_05.jpg,D:\biztech\preprocessed_images\person_323\img_04.jpg,0,person_224,person_323,negative,-0.177978
D:\biztech\preprocessed_images\person_104\img_03.jpg,D:\biztech\preprocessed_images\person_104\img_11.jpg,1,person_104,person_104,positive,0.233383
D:\biztech\preprocessed_images\person_068\img_16.jpg,D:\biztech\preprocessed_images\person_028\img_24.jpg,0,person_068,person_028,negative,-0.179715
D:\biztech\preprocessed_images\person_072\img_06.jpg,D:\biztech\preprocessed_images\person_072\img_15.jpg,1,person_072,person_072,positive,0.520718
D:\biztech\preprocessed_images\person_147\img_02.jpg,D:\biztech\preprocessed_images\person_147\img_09.jpg,1,person_147,person_147,positive,0.532295
D:\biztech\preprocessed_images\person_368\img_03.jpg,D:\biztech\preprocessed_images\person_368\img_05.jpg,1,person_368,person_368,positive,0.748871
D:\biztech\preprocessed_images\person_221\img_03.jpg,D:\biztech\preprocessed_images\person_104\img_08.jpg,0,person_221,person_104,negative,-0.128976
D:\biztech\preprocessed_images\person_224\img_01.jpg,D:\biztech\preprocessed_images\person_224\img_04.jpg,1,person_224,person_224,positive,0.781875
D:\biztech\preprocessed_images\person_600\img_04.jpg,D:\biztech\preprocessed_images\person_601\img_02.jpg,0,person_600,person_601,negative,0.600024
D:\biztech\preprocessed_images\person_164\img_06.jpg,D:\biztech\preprocessed_images\person_164\img_09.jpg,1,person_164,person_164,positive,0.584354
D:\biztech\preprocessed_images\person_430\img_01.jpg,D:\biztech\preprocessed_images\person_224\img_04.jpg,0,person_430,person_224,negative,0.076708
D:\biztech\preprocessed_images\person_104\img_03.jpg,D:\biztech\preprocessed_images\person_225\img_06.jpg,0,person_104,person_225,negative,-0.161627
D:\biztech\preprocessed_images\person_028\img_06.jpg,D:\biztech\preprocessed_images\person_028\img_16.jpg,1,person_028,person_028,positive,0.843121
D:\biztech\preprocessed_images\person_353\img_03.jpg,D:\biztech\preprocessed_images\person_518\img_03.jpg,0,person_353,person_518,negative,0.154368
D:\biztech\preprocessed_images\person_324\img_03.jpg,D:\biztech\preprocessed_images\person_072\img_16.jpg,0,person_324,person_072,negative,0.070781
D:\biztech\preprocessed_images\person_100\img_09.jpg,D:\biztech\preprocessed_images\person_301\img_05.jpg,0,person_100,person_301,negative,0.136660
D:\biztech\preprocessed_images\person_582\img_03.jpg,D:\biztech\preprocessed_images\person_582\img_04.jpg,1,person_582,person_582,positive,0.785947
D:\biztech\preprocessed_images\person_271\img_02.jpg,D:\biztech\preprocessed_images\person_380\img_02.jpg,0,person_271,person_380,negative,0.055350
D:\biztech\preprocessed_images\person_225\img_05.jpg,D:\biztech\preprocessed_images\person_058\img_05.jpg,0,person_225,person_058,negative,-0.153898
D:\biztech\preprocessed_images\person_176\img_08.jpg,D:\biztech\preprocessed_images\person_380\img_01.jpg,0,person_176,person_380,negative,0.079147
D:\biztech\preprocessed_images\person_160\img_01.jpg,D:\biztech\preprocessed_images\person_160\img_05.jpg,1,person_160,person_160,positive,0.604370
D:\biztech\preprocessed_images\person_470\img_03.jpg,D:\biztech\preprocessed_images\person_518\img_03.jpg,0,person_470,person_518,negative,-0.267972
D:\biztech\preprocessed_images\person_559\img_04.jpg,D:\biztech\preprocessed_images\person_239\img_03.jpg,0,person_559,person_239,negative,0.176564
D:\biztech\preprocessed_images\person_095\img_02.jpg,D:\biztech\preprocessed_images\person_095\img_15.jpg,1,person_095,person_095,positive,0.732933
D:\biztech\preprocessed_images\person_176\img_04.jpg,D:\biztech\preprocessed_images\person_176\img_05.jpg,1,person_176,person_176,positive,0.557322
D:\biztech\preprocessed_images\person_143\img_11.jpg,D:\biztech\preprocessed_images\person_251\img_04.jpg,0,person_143,person_251,negative,0.319429
D:\biztech\preprocessed_images\person_235\img_06.jpg,D:\biztech\preprocessed_images\person_235\img_07.jpg,1,person_235,person_235,positive,0.763165
D:\biztech\preprocessed_images\person_100\img_02.jpg,D:\biztech\preprocessed_images\person_100\img_03.jpg,1,person_100,person_100,positive,0.609087
D:\biztech\preprocessed_images\person_104\img_04.jpg,D:\biztech\preprocessed_images\person_104\img_11.jpg,1,person_104,person_104,positive,0.654086
D:\biztech\preprocessed_images\person_550\img_01.jpg,D:\biztech\preprocessed_images\person_587\img_02.jpg,0,person_550,person_587,negative,0.375744
D:\biztech\preprocessed_images\person_026\img_31.jpg,D:\biztech\preprocessed_images\person_559\img_04.jpg,0,person_026,person_559,negative,-0.153369
D:\biztech\preprocessed_images\person_323\img_03.jpg,D:\biztech\preprocessed_images\person_323\img_05.jpg,1,person_323,person_323,positive,0.113660
D:\biztech\preprocessed_images\person_033\img_08.jpg,D:\biztech\preprocessed_images\person_033\img_20.jpg,1,person_033,person_033,positive,0.584668
D:\biztech\preprocessed_images\person_072\img_05.jpg,D:\biztech\preprocessed_images\person_072\img_09.jpg,1,person_072,person_072,positive,0.281967
D:\biztech\preprocessed_images\person_115\img_07.jpg,D:\biztech\preprocessed_images\person_596\img_02.jpg,0,person_115,person_596,negative,-0.141415
D:\biztech\preprocessed_images\person_277\img_04.jpg,D:\biztech\preprocessed_images\person_277\img_05.jpg,1,person_277,person_277,positive,0.403202
D:\biztech\preprocessed_images\person_271\img_02.jpg,D:\biztech\preprocessed_images\person_271\img_04.jpg,1,person_271,person_271,positive,0.385254
D:\biztech\preprocessed_images\person_095\img_03.jpg,D:\biztech\preprocessed_images\person_095\img_14.jpg,1,person_095,person_095,positive,0.718145
D:\biztech\preprocessed_images\person_072\img_09.jpg,D:\biztech\preprocessed_images\person_072\img_18.jpg,1,person_072,person_072,positive,0.287466
D:\biztech\preprocessed_images\person_272\img_05.jpg,D:\biztech\preprocessed_images\person_251\img_04.jpg,0,person_272,person_251,negative,0.174859
D:\biztech\preprocessed_images\person_301\img_02.jpg,D:\biztech\preprocessed_images\person_301\img_05.jpg,1,person_301,person_301,positive,0.711836
D:\biztech\preprocessed_images\person_234\img_03.jpg,D:\biztech\preprocessed_images\person_234\img_06.jpg,1,person_234,person_234,positive,0.464500
D:\biztech\preprocessed_images\person_271\img_02.jpg,D:\biztech\preprocessed_images\person_074\img_16.jpg,0,person_271,person_074,negative,0.015643
D:\biztech\preprocessed_images\person_406\img_01.jpg,D:\biztech\preprocessed_images\person_406\img_05.jpg,1,person_406,person_406,positive,0.738560
D:\biztech\preprocessed_images\person_026\img_28.jpg,D:\biztech\preprocessed_images\person_007\img_19.jpg,0,person_026,person_007,negative,0.217517
D:\biztech\preprocessed_images\person_028\img_10.jpg,D:\biztech\preprocessed_images\person_559\img_01.jpg,0,person_028,person_559,negative,-0.311419
D:\biztech\preprocessed_images\person_285\img_02.jpg,D:\biztech\preprocessed_images\person_550\img_04.jpg,0,person_285,person_550,negative,-0.259289
D:\biztech\preprocessed_images\person_095\img_11.jpg,D:\biztech\preprocessed_images\person_095\img_13.jpg,1,person_095,person_095,positive,0.528369
D:\biztech\preprocessed_images\person_253\img_02.jpg,D:\biztech\preprocessed_images\person_224\img_01.jpg,0,person_253,person_224,negative,0.019073
D:\biztech\preprocessed_images\person_007\img_28.jpg,D:\biztech\preprocessed_images\person_007\img_31.jpg,1,person_007,person_007,positive,0.571540
